PValue	Nbr_region	Percentage
1e-30	4	0.178267242403835
1e-29	6	0.281266093570495
1e-28	6	0.301073564948699
1e-27	9	0.419918393217922
1e-26	9	0.459533335974329
1e-25	12	0.645063317883506
1e-24	13	0.704485732018117
1e-23	18	0.961982859934767
1e-22	18	1.00159780269118
1e-21	20	1.18052529414095
1e-20	22	1.27956265103197
1e-19	25	1.53772002799456
1e-18	30	1.81502462728941
1e-17	31	1.93386945555864
1e-16	32	2.15175164071888
1e-15	34	2.34982635450092
1e-14	34	2.50828612552655
1e-13	34	2.81134043761307
1e-12	40	3.2774762640468
1e-11	46	3.8056755007989
1e-10	58	4.56298115649223
1e-09	63	5.18031401444625
1e-08	72	6.45525492215664
1e-07	81	7.4073340464023
1e-06	101	8.94373357630498
1e-05	124	10.839968836245
1e-04	150	13.5691176101626
0.001	212	18.4721755536188
0.0015	221	19.3678698054906
0.002	227	19.9330429888154
0.0025	237	20.6041197229595
0.003	245	21.0709157984392
0.0035	250	21.59119204664
0.004	254	22.0163924322254
0.0045	257	22.263325575407
0.005	267	22.837742245375
0.0055	269	22.8357614982371
0.006	274	23.0754280394565
0.0065	277	23.3725401101295
0.007	287	23.8565026608037
0.0075	293	24.2505794345627
0.008	302	24.7345419852368
0.0085	306	25.1135249376065
0.009	311	25.4106370082795
0.0095	315	25.6450254195883
0.01	318	25.8232926619921
0.015	349	27.9248653752195
0.02	370	29.3147661728004
0.025	386	30.5335859116059
0.03	394	31.2582756605792
0.035	407	32.3285393640481
0.04	424	33.387746041807
0.045	429	34.0229056240014
0.05	434	34.8046404943945
0.055	447	35.7156334429347
0.06	458	36.5198167808898
0.065	469	37.1208106207662
0.07	481	37.8312385941977
0.075	486	38.3185023901015
0.08	492	38.8898040380832
0.085	496	39.266145994269
0.09	495	39.6424879504549
0.095	500	40.1336544124444
0.1	509	40.7141735662692
0.15	555	44.6698618098747
0.2	612	49.1388823634275
0.25	645	48.5996932813057
0.3	656	50.4160752815962
0.35	671	52.3034738013179
0.4	667	52.469718998006
0.45	672	53.0108681284581
0.5	633	55.950535296914
0.55	599	55.1805462900606
0.6	566	53.7033962880799
0.65	509	48.8742636572515
0.7	473	45.4371287419615
0.75	381	37.8334002825866
0.8	295	30.8748000435764
0.85	225	24.3749016889171
0.9	133	15.054675421569
0.95	63	7.81563004265209
1	15	1.37160562664237
